n,Site,Cham,Sample,Date,BaitTemp1,BaitTemp2,BaitTemp3,BaitTemp4,Notes
111,DF,9,1,20140717,26.8,24.8,25.6,NA,
112,DF,9,2,20140717,28.8,28.2,26.2,NA,
113,DF,9,3,20140717,24.4,25.2,24,NA,
114,DF,10,1,20140717,23.4,23.8,23.8,NA,
115,DF,10,2,20140717,24.6,23.2,23,NA,
116,DF,10,3,20140717,24.2,24.2,25.2,NA,
117,DF,11,1,20140717,24.4,24.4,24.4,NA,
118,DF,11,2,20140717,27,26.2,26.2,NA,
119,DF,11,3,20140717,26,24.4,25.8,NA,
120,DF,12,1,20140717,25,24.2,25.2,NA,
121,DF,12,2,20140717,25.8,24.8,24.6,NA,
122,DF,12,3,20140717,24.8,24.6,24.8,NA,
123,DF,13,1,20140717,26.2,27.6,25.4,NA,
124,DF,13,2,20140717,24.8,25,25.2,NA,
125,DF,13,3,20140717,26,26.4,25.6,NA,
126,DF,14,1,20140717,27.2,26.6,25.2,NA,
127,DF,14,2,20140717,26.6,26.6,26.2,NA,
128,DF,14,3,20140717,25.2,25.6,25.4,NA,
129,DF,15,1,20140717,29.4,29.8,29.2,NA,
130,DF,15,2,20140717,26.8,26,25.8,NA,
131,DF,15,3,20140717,25.6,26.8,24.4,NA,
132,DF,2,1,20140911,27.6,27.2,26.2,NA,Old Nest
133,DF,2,2,20140911,26.6,26.6,25.4,NA,
134,DF,2,3,20140911,26.6,26.4,26.8,NA,
135,DF,4,1,20140911,28.6,28.6,29.2,NA,
136,DF,4,2,20140911,28.6,28.8,28.6,NA,Old Nest
137,DF,4,3,20140911,28.8,29.6,29,NA,Old Nest
138,DF,1,1,20140911,28.4,28.4,28.4,NA,Old Nest
139,DF,1,2,20140911,28.6,28.8,28.4,NA,
140,DF,1,3,20140911,29.4,29,28.8,NA,
141,DF,3,1,20140911,30.8,30.2,30.8,NA,
142,DF,3,2,20140911,30.1,29.6,29.2,NA,
143,DF,3,3,20140911,30,30,30.4,NA,
144,DF,5,1,20140911,28.8,29.2,28.6,NA,
145,DF,5,2,20140911,28.2,28,28.2,NA,
146,DF,5,3,20140911,28.6,28.6,28.4,NA,
147,DF,6,1,20140911,28,27.2,28.4,NA,
148,DF,6,2,20140911,28.6,28.4,28.4,NA,
149,DF,6,3,20140911,28.4,28.6,28,NA,
150,DF,7,1,20140911,31.8,32.4,31.6,NA,
151,DF,7,2,20140911,31,31.2,29.6,NA,
152,DF,7,3,20140911,30.2,30,29.8,NA,
153,DF,8,1,20140911,32,32.4,31.8,NA,
154,DF,8,2,20140911,32.8,32.4,33,NA,
155,DF,8,3,20140911,32.2,32.4,32.4,NA,"Not on bait, on nest"
156,DF,9,1,20140911,30.8,31.4,32.2,NA,"In leaf litter, no on bait"
157,DF,9,2,20140911,39.4,29,30.2,NA,
158,DF,9,3,20140911,32.6,31.8,30.8,NA,
159,DF,1,1,20140911,29.8,29.8,29.6,NA,
160,DF,1,2,20140911,29.2,29.6,29.4,NA,
161,DF,1,3,20140911,29.2,29.4,29.8,NA,
162,DF,13,1,20140911,28.6,27,28.2,NA,
163,DF,13,2,20140911,28.4,28.6,28.8,NA,
164,DF,13,3,20140911,28.4,28.6,28.8,NA,
165,HF,8,1,20130626,24.4,24.8,25.4,25,
166,HF,5,1,20130626,28.4,28.4,28.4,28.2,
167,HF,6,1,20130626,26,24.2,25.4,25.6,
168,HF,6,2,20130626,24.8,25.6,25.6,25.6,
169,HF,6,3,20130626,23.6,24.4,24.2,24.8,
170,HF,7,1,20130626,25.2,25.4,25.2,25.2,
171,HF,8,2,20130626,25,24.8,25.2,26.4,
172,HF,5,2,20130626,26.2,25.8,26.8,26.6,
173,HF,8,3,20130626,25.8,26.4,26.2,26.4,
174,HF,5,3,20130626,29.4,29.2,28.8,27.6,
175,HF,10,1,20130626,27.6,27.2,27.4,27.4,
176,HF,11,1,20130626,26.2,28,27.4,26.8,
177,HF,12,1,20130626,26.4,26.2,26.2,27.4,
178,HF,11,2,20130626,25.6,25.8,25.8,25.4,
179,HF,9,1,20130626,24.2,26.2,26.2,28.4,Only 2 ants
180,HF,11,3,20130626,26.2,25.6,25.6,26.8,
181,HF,12,2,20130626,27,28.2,28.2,28.6,
182,HF,4,1,20130626,25.4,27.2,25.2,26.4,
183,HF,2,1,20130626,26.8,27.2,27.2,28,
184,HF,2,2,20130626,25,25.8,24,25.2,
185,HF,1,1,20130626,27.4,26.8,26.2,26.8,
186,HF,1,2,20130626,25.4,25.8,25.6,25.8,
187,HF,10,2,20130626,26,25.2,27.6,27.6,
188,HF,9,2,20130626,23.6,22.2,24.2,24.4,Only 2 ants
189,HF,3,1,20130626,24.8,25.2,25.4,25.8,
190,HF,2,3,20130626,26.2,26.2,26.4,26.4,
191,HF,3,2,20130626,25.4,24.2,24.8,24.6,
192,HF,9,3,20130626,24.4,24.8,24.4,24.6,
193,HF,10,3,20130626,27.4,27,26.4,26.6,
194,HF,12,3,20130626,25.8,25.8,23.8,25.8,
195,HF,4,2,20130626,23.2,24,23.6,23.8,
196,HF,3,3,20130626,25.4,25.4,25.2,25.6,
197,HF,1,3,20130626,26.8,27.6,26.8,27,Only 2 ants
198,HF,2,1,20130821,28.2,29,29,29.2,
199,HF,3,1,20130821,27.6,27.2,26.6,27.4,
200,HF,4,1,20130821,28.8,27.8,28.4,28.2,
201,HF,8,1,20130821,29.8,29.4,30.2,30.2,
202,HF,6,1,20130821,29.8,30.4,30.8,29.6,
203,HF,10,1,20130821,33.2,33.2,32.4,31.8,
204,HF,9,1,20130821,28.8,28.4,28,28.4,
205,HF,12,1,20130821,29.4,28.4,28.6,28.6,
206,HF,11,1,20130821,27.8,27.2,27.6,28,
207,HF,1,1,20130821,31.4,31.8,30.8,31.2,
208,HF,6,2,20130821,28.4,29.4,28.8,29.6,
209,HF,5,1,20130821,31.2,31.4,30.8,30.4,
210,HF,8,2,20130821,29,28.6,28.6,28.6,
211,HF,9,2,20130821,27.6,28.2,27.6,27.6,
212,HF,10,2,20130821,29.4,29.6,29.8,29.8,
213,HF,12,2,20130821,29.8,29.8,29.2,29.4,
214,HF,3,2,20130821,28.6,28.2,28.6,28,
215,HF,2,2,20130821,28.8,29,28.6,28.8,
216,HF,1,2,20130821,29.6,29.2,29.8,29.2,
217,HF,7,1,20130821,29,29.2,29.4,29,
218,HF,4,2,20130821,27.6,27,26.6,26.6,
219,HF,11,2,20130821,27.4,26.8,27.8,28.4,
220,HF,7,2,20130821,29.6,29.2,29.3,29.2,
221,HF,4,3,20130821,26.6,26.2,26.4,26.4,
222,HF,9,3,20130821,27.6,27.2,27.4,27,
223,HF,11,3,20130821,26.4,27,27.2,27,
224,HF,10,3,20130821,28.8,29.4,29.2,29,
225,HF,12,3,20130821,28.8,28.2,28.2,28.4,
226,HF,2,3,20130821,29.2,28.8,28.4,29.4,
227,HF,3,3,20130821,27.8,27.8,27.2,27,
228,HF,5,2,20130821,31.2,28.2,28.2,29.2,
229,HF,8,3,20130821,27.2,27.6,27.8,27.6,
230,HF,7,3,20130821,29,29.2,29.6,29.8,
231,HF,6,3,20130821,25.8,25.6,25.6,25.4,
232,HF,5,3,20130821,29.2,29.6,29,29,
233,HF,1,3,20130821,27.6,27.6,26.8,27.6,
234,HF,8,1,20140812,25.4,25.8,26.2,25.4,
235,HF,6,1,20140812,25.6,25.4,25.2,25.8,
236,HF,5,1,20140812,27.2,28.4,28.4,28,
237,HF,4,1,20140812,25.8,25.4,25.6,25.2,
238,HF,2,1,20140812,27.2,27.4,27.8,27.8,
239,HF,1,1,20140812,31.8,36.2,33.8,30,
240,HF,9,1,20140812,28.4,28.4,28.4,28.6,
241,HF,10,1,20140812,28.6,29.2,28.6,29.4,
242,HF,12,1,20140812,30.4,28.2,28.6,30,
243,HF,8,2,20140812,27,26.6,27.6,27.6,
244,HF,5,2,20140812,26.4,28.2,28.6,27.4,
245,HF,7,1,20140812,28.2,28.6,27.8,28,
246,HF,6,2,20140812,25.6,30.2,26.4,25.4,
247,HF,2,2,20140812,27.2,28.2,28.2,27.4,
248,HF,1,2,20140812,28.6,28.4,28.2,28.8,
249,HF,4,2,20140812,26.2,25.8,25.8,26.2,
250,HF,9,2,20140812,32.8,27.8,29.2,29.8,
251,HF,12,2,20140812,27.6,28,28,28.6,
252,HF,11,1,20140812,24.4,24.6,24.8,24.8,Only 2 ants
253,HF,10,2,20140812,27.2,28.2,28,28.6,Only 2 ants
254,HF,6,3,20140812,26.4,25.8,26.2,26.2,
255,HF,5,3,20140812,29.2,30.6,29,29.2,Only 2 ants
256,HF,7,2,20140812,28.8,28.4,28.8,29,Only 2 ants
257,HF,3,1,20140812,26.4,26.6,26.4,26.4,
258,HF,2,3,20140812,28,28,29.4,28.4,
259,HF,1,3,20140812,29.2,29.2,28.4,29.2,
260,HF,12,3,20140812,25.6,25.2,25.6,25.6,
261,HF,10,3,20140812,29.4,28.8,28.4,28.8,
262,HF,3,2,20140812,27,25.8,26.4,25.6,Only 2 ants
