N,Site,Cham,Sample,Window,Nest,YY,MM,DD,Time,BaitTemp1,BaitTemp2,BaitTemp3,BaitTemp4,Notes,,
,,11,B,C,1,2013,9,10,11:26,27.8,27.4,27.6,27.8,Under nest,,
,,11,C,B,2,2013,9,10,11:32,27.8,27.6,27.6,27.8,On top of nest,,
,,12,A,C,NA,2013,9,10,12:20,31.8,31.4,31.2,31.6,Under nest,,
,,12,B,D,NA,2013,9,10,12:27,30.2,31.6,29.8,30.4,,,
,,12,C,B,1,2013,9,10,12:30,31.4,32.6,31.8,31.6,,,
,,13,A,A,1,2013,9,10,1:52,29.8,28.8,29,29.6,,,
,,13,B,B,1,2013,9,10,1:55,28.2,28.8,28.6,29.6,Under nest,,
,,13,C,D,NA,2013,9,10,1:57,29.4,29.8,30,29.8,,,
,,14,A,A,2,2013,9,10,2:02,30.4,30,30.6,30.4,On top of nest,,
,,14,B,D,NA,2013,9,10,2:03,29.4,28.4,30.2,30.8,,,
,,14,C,B,NA,2013,9,10,2:04,31.6,30.6,32,31.2,,,
,,15,A,A,NA,2013,9,10,2:09,30.6,31.4,31.8,30.6,,,
,,15,B,C,1,2013,9,10,2:10,30.6,30.1,31.2,30.4,,,
,,15,C,B,2,2013,9,10,2:13,30.2,30.4,30.4,30.2,,,
,,1,A,NA,,2014,7,17,12:11,27.6,27.6,27.4,NA,,,
,,1,B,NA,,2014,7,17,12:14,24.4,22.8,24.8,NA,,,
,,1,C,NA,,2014,7,17,12:15,24.6,24.8,23.8,NA,,,
,,2,A,NA,,2014,7,17,12:18,26.2,27.8,30.6,NA,,,
,,2,B,NA,,2014,7,17,12:20,24.8,28.6,26.4,NA,,,
,,2,C,NA,,2014,7,17,12:22,24.4,24.4,23.8,NA,,,
,,3,A,NA,,2014,7,17,1:10,26.8,26.4,27.2,NA,,,
,,3,B,NA,,2014,7,17,1:15,25.8,26.4,25.2,NA,,,
,,3,C,NA,,2014,7,17,1:19,25.4,24.2,25.8,NA,,,
,,4,A,NA,,2014,7,17,1:24,24.8,25.6,23.6,NA,,,
,,4,B,NA,,2014,7,17,1:27,23.4,22.6,24.2,NA,,,
,,4,C,NA,,2014,7,17,1:27,25.6,24.6,25.8,NA,,,
,,5,A,NA,,2014,7,17,10:37,23.4,22.6,22.4,NA,,,
,,5,B,NA,,2014,7,17,10:42,22.4,22.6,23.6,NA,,,
,,5,C,NA,,2014,7,17,10:45,23.8,23.4,22.8,NA,,,
,,6,A,NA,,2014,7,17,10:48,23.2,24.2,22.8,NA,,,
,,6,B,NA,,2014,7,17,10:51,23.6,22.6,23.8,NA,,,
,,6,C,NA,,2014,7,17,10:54,23.8,23.4,23.4,NA,,,
,,7,A,NA,,2014,7,17,10:05,22.8,22.8,22.6,NA,,,
,,7,B,NA,,2014,7,17,10:09,22.6,22.12,22.2,NA,,,
,,7,C,NA,,2014,7,17,10:13,24.4,23.6,23.2,NA,,,
,,8,A,NA,,2014,7,17,10:19,27.8,26.4,29.2,NA,,,
,,8,B,NA,,2014,7,17,10:22,25.6,25.6,25.4,NA,,,
,,8,C,NA,,2014,7,17,10:27,23.6,24,24.8,NA,,,
,,9,A,NA,,2014,7,17,11:15,26.8,24.8,25.6,NA,,,
,,9,B,NA,,2014,7,17,11:10,28.8,28.2,26.2,NA,,,
,,9,C,NA,,2014,7,17,11:22,24.4,25.2,24,NA,,,
,,10,A,NA,,2014,7,17,11:30,23.4,23.8,23.8,NA,,,
,,10,B,NA,,2014,7,17,11:32,24.6,23.2,23,NA,,,
,,10,C,NA,,2014,7,17,11:35,24.2,24.2,25.2,NA,,,
,,11,A,NA,,2014,7,17,11:43,24.4,24.4,24.4,NA,,,
,,11,B,NA,,2014,7,17,11:45,27,26.2,26.2,NA,,,
,,11,C,NA,,2014,7,17,11:48,26,24.4,25.8,NA,,,
,,12,A,NA,,2014,7,17,11:52,25,24.2,25.2,NA,,,
,,12,B,NA,,2014,7,17,11:53,25.8,24.8,24.6,NA,,,
,,12,C,NA,,2014,7,17,11:56,24.8,24.6,24.8,NA,,,
,,13,A,NA,,2014,7,17,1:40,26.2,27.6,25.4,NA,,,
,,13,B,NA,,2014,7,17,1:41,24.8,25,25.2,NA,,,
,,13,C,NA,,2014,7,17,1:45,26,26.4,25.6,NA,,,
,,14,A,NA,,2014,7,17,1:47,27.2,26.6,25.2,NA,,,
,,14,B,NA,,2014,7,17,1:50,26.6,26.6,26.2,NA,,,
,,14,C,NA,,2014,7,17,1:51,25.2,25.6,25.4,NA,,,
,,15,A,NA,,2014,7,17,1:54,29.4,29.8,29.2,NA,,,
,,15,B,NA,,2014,7,17,1:56,26.8,26,25.8,NA,,,
,,15,C,NA,,2014,7,17,1:50,25.6,26.8,24.4,NA,,,
,,2,A,D,,2014,9,11,11:05,27.6,27.2,26.2,NA,Old Nest,,
,,2,B,C,,2014,9,11,11:08,26.6,26.6,25.4,NA,,,
,,2,C,B,,2014,9,11,11:12,26.6,26.4,26.8,NA,,,
,,4,A,D,,2014,9,11,11:26,28.6,28.6,29.2,NA,,,
,,4,B,C,,2014,9,11,11:29,28.6,28.8,28.6,NA,Old Nest,,
,,4,C,A,,2014,9,11,11:35,28.8,29.6,29,NA,Old Nest,,
,,1,A,B,,2014,9,11,11:51,28.4,28.4,28.4,NA,Old Nest,,
,,1,B,C,,2014,9,11,11:54,28.6,28.8,28.4,NA,,,
,,1,C,D,,2014,9,11,12:01,29.4,29,28.8,NA,,,
,,3,A,A,,2014,9,11,12:24,30.8,30.2,30.8,NA,,,
,,3,B,B,,2014,9,11,12:28,30.1,29.6,29.2,NA,,,
,,3,C,D,,2014,9,11,12:32,30,30,30.4,NA,,,
,,5,A,B,,2014,9,11,12:52,28.8,29.2,28.6,NA,,,
,,5,B,D,,2014,9,11,12:59,28.2,28,28.2,NA,,,
,,5,C,A,,2014,9,11,1:03,28.6,28.6,28.4,NA,,,
,,6,A,A,,2014,9,11,1:09,28,27.2,28.4,NA,,,
