,n,Collection.Date,Site,Vial.Name,Cham,Sample,Window,BaitTemp1,BaitTemp2,BaitTemp3,BaitTemp4,RNA.conc.,Isolation.Date,CT_18s,CT_40,CT_70,CT_83,CDNA,mean.temps,hsp40,hsp70,hsp83,color
37,53,20130910,DF,DF A3-A,3,2,A,29.6,30.2,30.6,30.6,9.53,20150730,21.767,NA,30.255,32.294,2.5,30.25,NA,16.60,23.52,red
38,54,20130910,DF,DF A3-C,3,3,C,28.8,30.6,31.4,30.4,57,20150727,11.955,28.294,22.85,23.807,2.5,30.3,1.85,3.13,9.39,red
39,55,20130910,DF,DF 4A-B,4,1,B,25.4,25.6,24.8,25.8,29.5,20150728,11.1,26.915,22.721,23.212,2.5,25.4,2.66,1.89,7.84,red
40,56,20130910,DF,DF 4B-C,4,2,C,27.4,26.8,26.4,27.6,3.7,20150723,11.409,28.308,22.878,23.729,1.85,27.05,1.26,2.10,6.79,red
41,57,20130910,DF,DF A4-A,4,3,A,27.6,27.4,27.6,27.8,21.6,20150730,24.276,NA,30.736,33.774,2.5,27.6,NA,67.71,47.99,red
42,58,20130910,DF,DF 5D-C,5,1,C,28.8,29.4,29.2,29.6,54,20150727,11.378,27.739,22.342,23.412,2.5,29.25,1.82,2.98,8.27,red
43,59,20130910,DF,DF 5B-D,5,2,B,29.2,29.2,29.6,29.4,27.3,20150728,10.991,27.249,21.153,21.493,2.5,29.35,1.96,5.20,23.93,red
44,60,20130910,DF,DF 5C-4,5,3,D,29.9,29.4,28.4,29.4,36.7,20150723,10.811,27.331,21.923,23.088,2.5,29.275,1.63,2.69,6.99,red
45,61,20130910,DF,DF A6-1,6,1,A,25.4,24.8,25.2,25.8,14.1,20150723,10.932,27.436,22.32,23.123,2.5,25.3,1.65,2.22,7.42,red
46,62,20130910,DF,DF A6-C,6,2,C,24.8,24.8,25.6,26.2,76,20150728,10.969,28.158,22.671,24.358,2.5,25.35,1.03,1.79,3.23,red
47,63,20130910,DF,DF A6-4,6,3,D,24.8,24.8,25.8,26.2,8.22,20150728,11.328,28.592,22.65,23.598,2.5,25.4,0.98,2.33,7.03,red
48,64,20130910,DF,DF 8-B,8,1,B,29.6,30.2,29.2,30.2,41.2,20150723,10.939,28.207,NA,NA,2.5,29.8,0.97,NA,NA,red
49,65,20130910,DF,DF A8-D,8,2,D,32.2,32.8,33.2,33.4,25.4,20150724,12.112,27.879,21.411,22.399,2.5,32.9,2.75,9.46,27.77,red
50,66,20130910,DF,DF 8-C,8,3,C,32.4,31,32.2,32.2,26.2,20150727,11.01,26.476,20.621,20.685,2.5,31.95,3.39,7.62,42.45,red
51,67,20130910,DF,DF A9-C,9,1,C,28.2,28.2,28.6,27.6,41.3,20150728,11.236,27.999,21.781,22.881,2.5,28.15,1.38,3.99,10.84,red
52,68,20130910,DF,DF A9-B,9,2,B,27.2,28.2,27.2,27.8,71,20150727,13.946,28.98,22.868,25.418,2.5,27.6,4.58,12.29,12.22,red
53,69,20130910,DF,DF A10-3,10,1,C,24.4,25.2,25.2,25,43.1,20150724,12.353,27.933,22.99,24.259,2.5,24.95,3.13,3.74,9.04,red
54,70,20130910,DF,DF 10-2,10,2,B,25,24,25,25,57,20150727,10.985,28.161,23.147,23.722,2.5,24.75,1.04,1.30,5.08,red
55,71,20130910,DF,DF A10-1,10,3,A,25,24,24,24,32.1,20150724,11.274,27.937,22.096,23.32,2.5,24.25,1.48,3.29,8.21,red
56,72,20130910,DF,DF A11-D,11,1,A,27.4,27.2,27.2,26.8,24.6,20150728,10.892,28.565,22.646,23.037,2.5,27.15,0.73,1.73,7.66,red
57,73,20130910,DF,DF A11-C,11,2,C,27.8,27.4,27.6,27.8,54,20150728,11.025,28.421,23.219,24.773,2.5,27.65,0.89,1.27,2.52,red
58,74,20130910,DF,DF A11-B,11,3,B,27.8,27.6,27.6,27.8,36.2,20150724,11.466,28.01,22.947,25.509,2.5,27.7,1.61,2.09,2.06,red
59,75,20130910,DF,DF A12-D,12,1,D,31.8,31.4,31.2,31.6,61,20150729,21.573,NA,28.549,30.693,2.5,31.5,NA,47.35,62.36,red
60,76,20130910,DF,DF 12-B,12,2,B,30.2,31.6,29.8,30.4,40.2,20150729,12.181,29.408,23.682,25.289,2.5,30.5,1.00,2.06,3.93,red
61,77,20130910,DF,DF A12-C,12,3,C,31.4,32.6,31.8,31.6,15.1,20150728,18.336,NA,29.725,31.042,2.5,31.85,NA,2.22,5.19,red
62,78,20130910,DF,DF 13-A,13,1,A,29.8,28.8,29,29.6,6.61,20150724,12.776,29.566,23.921,25.123,2.5,29.3,1.35,2.63,6.66,red
63,79,20130910,DF,DF 13-B,13,2,B,28.2,28.8,28.6,29.6,46.2,20150727,14.746,29.261,23.873,25.583,2.5,28.8,6.56,10.66,18.97,red
64,80,20130910,DF,DF 13-D,13,3,D,29.4,29.8,30,29.8,47,20150729,17.998,30.282,25.588,26.795,2.5,29.75,30.78,30.94,78.01,red
65,81,20130910,DF,DF 14-A,14,1,A,30.4,30,30.6,30.4,10.9,20150727,13.134,NA,27.302,29.493,2.5,30.35,NA,0.32,0.41,red
66,82,20130910,DF,DF 14-D,14,2,D,29.4,28.4,30.2,30.8,2.97,20150723,11.437,29.096,23.408,24.104,1.485,29.7,0.74,1.48,5.34,red
67,83,20130910,DF,DF 14-C,14,3,B,31.6,30.6,32,31.2,52,20150723,10.936,26.5,21.124,20.215,2.5,31.35,3.17,5.11,55.86,red
68,84,20130910,DF,DF 15-A,15,1,A,30.6,31.4,31.8,30.6,58.2,20150729,28.202,NA,31.198,33.115,2.5,31.1,NA,747.13,1151.79,red
69,85,20130910,DF,DF 15B-C,15,2,C,30.6,30.1,31.2,30.4,41.6,20150727,13.412,29.185,23.702,25.73,2.5,30.575,2.74,4.76,6.80,red
70,86,20130910,DF,DF 15-C,15,3,B,30.2,30.4,30.4,30.2,7.71,20150729,18.578,30.253,25.072,27.646,2.5,30.3,46.95,66.13,64.65,red
71,134,20140911,DF,DF 1.3,1,3,D,29.4,29,28.8,NA,41.6,20150824,8.259,26.661,21.753,22.047,2.5,29.06666667,0.44,0.52,2.45,red
72,135,20140911,DF,DF 2.1,2,1,D,27.6,27.2,26.2,NA,26.1,20150824,8.409,27.657,22.928,24.594,2.5,27,0.25,0.25,0.47,red
73,136,20140911,DF,DF 2.2,2,2,C,26.6,26.6,25.4,NA,20.8,20150817,13.09,29.487,25.904,28.657,2.5,26.2,1.78,0.83,0.71,red
74,138,20140911,DF,DF 3.1,3,1,A,30.8,30.2,30.8,NA,32.9,20150824,16.046,31.487,28.697,30.252,2.5,30.6,3.45,0.93,1.84,red
75,139,20140911,DF,DF 3.2,3,2,B,30.1,29.6,29.2,NA,36.2,20150817,12.089,27.671,23.818,23.851,2.5,29.63333333,3.13,1.76,9.99,red
76,140,20140911,DF,DF 3.3,3,3,D,30,30,30.4,NA,45,20150817,9.98,27.649,23.705,23.7,2.5,30.13333333,0.74,0.44,2.57,red
77,141,20140911,DF,DF 4.1,4,1,D,28.6,28.6,29.2,NA,23.4,20150817,8.346,26.533,22.689,21.884,2.5,28.8,0.51,0.29,2.92,red
78,148,20140911,DF,DF 6.2,6,2,C,28.6,28.4,28.4,NA,6.18,20150824,8.328,28.045,24.283,23.542,2.5,28.46666667,0.18,0.09,0.91,red
79,153,20140911,DF,DF 8.1,8,1,C,32,32.4,31.8,NA,39.2,20150817,9.34,26.634,22.457,21.799,2.5,32.06666667,0.96,0.67,6.16,red
80,154,20140911,DF,DF 8.2,8,2,A,32.8,32.4,33,NA,2.74,20150817,16.872,31.118,27.53,28.062,1.37,32.73333333,7.90,3.69,14.85,red
81,157,20140911,DF,DF 9.2,9,2,C,39.4,29,30.2,NA,46.4,20150817,15.661,28.847,25.504,26.723,2.5,32.86666667,16.47,6.49,16.23,red
82,159,20140911,DF,DF 11.1,11,1,D,29.8,29.8,29.6,NA,30,20150824,15.252,30.281,24.095,27.018,2.5,29.73333333,4.59,12.98,9.96,red
83,160,20140911,DF,DF 11.2,11,2,C,29.2,29.6,29.4,NA,43.8,20150817,9.482,26.749,22.543,21.946,2.5,29.4,0.97,0.70,6.14,red
84,162,20140911,DF,DF 13.1,13,1,B,28.6,27,28.2,NA,37,20150824,10.887,27.652,23.059,23.835,2.5,27.93333333,1.38,1.29,4.39,red
85,163,20140911,DF,DF 13.2,13,2,C,28.4,28.6,28.8,NA,2.3,20150824,15.54,31.321,26.9,30.787,1.15,28.6,2.73,2.27,0.89,red
86,164,20140911,DF,DF 13.3,13,3,D,28.4,28.6,28.8,NA,35.2,20150814,25.37,36.862,32.364,35.169,2.5,28.6,53.30,46.76,38.95,red
87,165,20130626,HF,HF 1-1,1,1,,27.4,26.8,26.2,26.8,86,20150807,17.298,35.204,29.973,32.683,2.5,26.8,0.63,0.91,0.81,blue
88,166,20130626,HF,HF 1-2,1,2,,25.4,25.8,25.6,25.8,31.6,20150805,17.259,33.584,28.486,34.81,2.5,25.65,1.87,2.49,0.18,blue
89,169,20130626,HF,HF 2-2,2,2,,25,25.8,24,25.2,6.21,20150810,13.556,30.931,27.213,29.932,2.5,25,0.90,0.46,0.41,blue
90,170,20130626,HF,HF 2-3,2,3,,26.2,26.2,26.4,26.4,4.56,20150810,11.404,31.977,27.476,30.042,2.28,26.3,0.10,0.09,0.09,blue
91,171,20130626,HF,HF 3-1,3,1,,24.8,25.2,25.4,25.8,68,20150805,16.315,30.888,28.2,35.992,2.5,25.3,6.30,1.58,0.04,blue
92,172,20130626,HF,HF 3-2,3,2,,25.4,24.2,24.8,24.6,20.3,20150810,13.835,31.699,27.343,34.272,2.5,24.75,0.64,0.51,0.02,blue
93,173,20130626,HF,HF 3-3,3,3,,25.4,25.4,25.2,25.6,89,20150805,13.799,31.563,25.954,35.812,2.5,25.4,0.69,1.31,0.01,blue
94,174,20130626,HF,HF 4-1,4,1,,25.4,27.2,25.2,26.4,23.5,20150807,15.582,34.036,30.279,37.729,2.5,26.05,0.43,0.22,0.01,blue
95,176,20130626,HF,HF 5-1,5,1,,28.4,28.4,28.4,28.2,29.6,20150806,10.875,29.962,26.099,30.81,2.5,28.35,0.28,0.16,0.03,blue
96,177,20130626,HF,HF 5-2,5,2,,26.2,25.8,26.8,26.6,5.44,20150807,21.893,34.875,NA,34.447,2.5,26.35,18.97,NA,5.77,blue
97,178,20130626,HF,HF 5-3,5,3,,29.4,29.2,28.8,27.6,8.74,20150810,14.182,32.098,27.972,31.331,2.5,28.75,0.62,0.42,0.24,blue
98,179,20130626,HF,HF 6-1,6,1,,26,24.2,25.4,25.6,97,20150806,7.943,30.522,25.473,27.652,2.5,25.3,0.02,0.03,0.04,blue
99,180,20130626,HF,HF 6-2B,6,2,,24.8,25.6,25.6,25.6,63 (after diluted 1:2),20150806,8.528,29.925,25.953,33.06,2.5,25.4,0.06,0.03,0.00,blue
100,181,20130626,HF,HF 6-3B,6,3,,23.6,24.4,24.2,24.8,70 (after diluted 1:2),20150805,8.535,30.268,25.634,34.441,2.5,24.25,0.04,0.04,0.00,blue
101,182,20130626,HF,HF 7-1,7,1,,25.2,25.4,25.2,25.2,16.9,20150806,10.015,30.161,24.971,28.215,2.5,25.25,0.13,0.19,0.12,blue
102,183,20130626,HF,HF 8-1,8,1,,24.4,24.8,25.4,25,10.9,20150810,15.992,32.205,28.013,33.325,2.5,24.9,2.02,1.43,0.21,blue
103,184,20130626,HF,HF 8-2,8,2,,25,24.8,25.2,26.4,5.71,20150806,10.442,31.809,26.576,27.83,2.5,25.35,0.06,0.08,0.20,blue
104,185,20130626,HF,HF 8-3,8,3,,25.8,26.4,26.2,26.4,4.92,20150805,14.888,30.843,27.138,32.908,2.46,26.2,2.42,1.22,0.13,blue
105,187,20130626,HF,HF 9-2,9,2,,23.6,22.2,24.2,24.4,11,20150807,19.4,31.686,29.34,37.625,2.5,23.6,30.74,6.07,0.11,blue
106,188,20130626,HF,HF 9-3,9,3,,24.4,24.8,24.4,24.6,64,20150805,10.551,31.2,25.61,29.409,2.5,24.55,0.09,0.17,0.07,blue
107,189,20130626,HF,HF 10-1,10,1,,27.6,27.2,27.4,27.4,5.13,20150807,11.832,30.762,25.668,29.325,2.5,27.4,0.31,0.41,0.19,blue
108,191,20130626,HF,HF 10-3,10,3,,27.4,27,26.4,26.6,5.15,20150807,10.52,30.865,25.888,28.556,2.5,26.85,0.12,0.14,0.13,blue
109,192,20130626,HF,HF 11-1,11,1,,26.2,28,27.4,26.8,84,20150806,7.01,29.069,24.99,23.35,2.5,27.1,0.04,0.02,0.42,blue
110,194,20130626,HF,HF 11-3,11,3,,26.2,25.6,25.6,26.8,2.87,20150805,9.65,31.946,26.296,29.134,1.435,26.05,0.03,0.06,0.05,blue
111,195,20130626,HF,HF 12-1,12,1,,26.4,26.2,26.2,27.4,83,20150806,7.883,29.558,25.039,28.633,2.5,26.55,0.05,0.04,0.02,blue
112,198,20130821,HF,HF2 1-1,1,1,,31.4,31.8,30.8,31.2,56,20150825,6.274,24.636,20.014,26.174,2.5,31.3,0.46,0.44,0.04,blue
113,199,20130821,HF,HF2 1-2,1,2,,29.6,29.2,29.8,29.2,52,20150915,24.048,31.449,23.83,30.125,2.5,29.45,908.30,6932.78,514.01,blue
114,201,20130821,HF,HF2 2-1,2,1,,28.2,29,29,29.2,68,20150828,17.739,31.352,27.265,32.189,2.5,28.85,12.25,8.08,1.55,blue
115,202,20130821,HF,HF2 2-2,2,2,,28.8,29,28.6,28.8,53,20150825,6.753,27.671,23.181,22.685,2.5,28.8,0.08,0.07,0.56,blue
116,203,20130821,HF,HF2 2-3,2,3,,29.2,28.8,28.4,29.4,64,20150825,9.255,27.439,22.002,21.677,2.5,28.95,0.52,0.87,6.32,blue
117,204,20130821,HF,HF2 3-1,3,1,,27.6,27.2,26.6,27.4,51,20150828,6.922,25.32,19.571,27.443,2.5,27.2,0.44,0.93,0.02,blue
118,206,20130821,HF,HF2 3-3,3,3,,27.8,27.8,27.2,27,65,20150828,4.972,26.537,21.063,23.197,2.5,27.45,0.05,0.09,0.11,blue
119,207,20130821,HF,HF2 4-1,4,1,,28.8,27.8,28.4,28.2,13.7,20150827,8.526,27.727,22.962,23.288,2.5,28.3,0.25,0.27,1.25,blue
120,210,20130821,HF,HF2 5-1,5,1,,31.2,31.4,30.8,30.4,61,20150827,6.006,25.718,20.419,21.346,2.5,30.95,0.18,0.27,0.84,blue
121,212,20130821,HF,HF2 5-3,5,3,,29.2,29.6,29,29,32.6,20150828,13.066,28.03,23.183,24.227,2.5,29.2,4.80,5.37,15.15,blue
122,213,20130821,HF,HF2 6-1,6,1,,29.8,30.4,30.8,29.6,15.3,20150825,5.792,25.546,20.615,21.164,2.5,30.15,0.17,0.21,0.82,blue
123,214,20130821,HF,HF2 6-2,6,2,,28.4,29.4,28.8,29.6,20.8,20150825,13.121,29.042,22.87,25.974,2.5,29.05,2.47,6.93,4.69,blue
124,215,20130821,HF,HF2 6-3,6,3,,25.8,25.6,25.6,25.4,14.8,20150827,7.803,27.84,22.498,22.951,2.5,25.6,0.14,0.22,0.96,blue
125,218,20130821,HF,HF2 7-3,7,3,,29,29.2,29.6,29.8,47.5,20150828,10.709,27.501,21.692,28.305,2.5,29.4,1.35,2.94,0.18,blue
126,219,20130821,HF,HF2 8-1,8,1,,29.8,29.4,30.2,30.2,44.3,20150828,9.799,27.491,22.743,25.397,2.5,29.9,0.72,0.76,0.70,blue
127,220,20130821,HF,HF2 8-2,8,2,,29,28.6,28.6,28.6,45.8,20150827,9.476840019,27.20611,22.69932461,28.558,2.5,28.7,0.71,0.62,0.06,blue
128,221,20130821,HF,HF2 8-3,8,3,,27.2,27.6,27.8,27.6,59,20150827,6.211193085,25.93652821,20.98429394,20.342,2.5,27.55,0.18,0.21,1.93,blue
129,222,20130821,HF,HF2 9-1,9,1,,28.8,28.4,28,28.4,31.3,20150827,9.62282753,27.5186491,21.89963818,22.251,2.5,28.4,0.63,1.20,5.48,blue
130,224,20130821,HF,HF2 9-3,9,3,,27.6,27.2,27.4,27,58,20150828,7.527546406,26.08867168,20.43049431,27.059,2.5,27.3,0.40,0.78,0.05,blue
131,225,20130821,HF,HF2 10-1,10,1,,33.2,33.2,32.4,31.8,39.6,20150827,11.56800461,28.39256382,22.91804123,23.241,2.5,32.65,1.32,2.28,10.63,blue
132,226,20130821,HF,HF2 10-2,10,2,,29.4,29.6,29.8,29.8,44.3,20150827,8.498671055,26.30670643,20.84112644,21.06,2.5,29.65,0.67,1.15,5.74,blue
133,228,20130821,HF,HF2 11-1,11,1,,27.8,27.2,27.6,28,55,20150825,9.068080425,28.11422539,23.25425148,24.375,2.5,27.65,0.28,0.32,0.86,blue
134,231,20130821,HF,HF2 12-1,12,1,,29.4,28.4,28.6,28.6,59,20150825,5.487036228,26.67927933,21.81286812,22.775,2.5,28.75,0.06,0.07,0.22,blue
135,233,20130821,HF,HF2 12-3,12,3,,28.8,28.2,28.2,28.4,31.4,20150825,8.642649174,27.91520977,22.37749767,22.076,2.5,28.4,0.24,0.44,3.14,blue
